2025-01-18 11:53:33,155 INFO    StreamThr :7086 [internal.py:wandb_internal():86] W&B internal server running at pid: 7086, started at: 2025-01-18 11:53:33.155107
2025-01-18 11:53:33,155 DEBUG   HandlerThread:7086 [handler.py:handle_request():144] handle_request: status
2025-01-18 11:53:33,262 INFO    WriterThread:7086 [datastore.py:open_for_write():85] open: ../train_log/wandb_store/wandb/run-20250118_115333-i486ejj1/run-i486ejj1.wandb
2025-01-18 11:53:33,262 DEBUG   SenderThread:7086 [sender.py:send():369] send: header
2025-01-18 11:53:33,289 DEBUG   SenderThread:7086 [sender.py:send():369] send: run
2025-01-18 11:53:33,536 INFO    SenderThread:7086 [dir_watcher.py:__init__():211] watching files in: ../train_log/wandb_store/wandb/run-20250118_115333-i486ejj1/files
2025-01-18 11:53:33,536 INFO    SenderThread:7086 [sender.py:_start_run_threads():1100] run started: i486ejj1 with start time 1737219213.156996
2025-01-18 11:53:33,563 DEBUG   SenderThread:7086 [sender.py:send_request():396] send_request: summary_record
2025-01-18 11:53:33,563 INFO    SenderThread:7086 [sender.py:_save_file():1354] saving file wandb-summary.json with policy end
2025-01-18 11:53:33,569 DEBUG   HandlerThread:7086 [handler.py:handle_request():144] handle_request: check_version
2025-01-18 11:53:33,569 DEBUG   SenderThread:7086 [sender.py:send_request():396] send_request: check_version
2025-01-18 11:53:33,713 DEBUG   HandlerThread:7086 [handler.py:handle_request():144] handle_request: run_start
2025-01-18 11:53:33,721 DEBUG   HandlerThread:7086 [system_info.py:__init__():31] System info init
2025-01-18 11:53:33,721 DEBUG   HandlerThread:7086 [system_info.py:__init__():46] System info init done
2025-01-18 11:53:33,721 INFO    HandlerThread:7086 [system_monitor.py:start():181] Starting system monitor
2025-01-18 11:53:33,722 INFO    SystemMonitor:7086 [system_monitor.py:_start():145] Starting system asset monitoring threads
2025-01-18 11:53:33,722 INFO    HandlerThread:7086 [system_monitor.py:probe():201] Collecting system info
2025-01-18 11:53:33,723 INFO    SystemMonitor:7086 [interfaces.py:start():190] Started cpu monitoring
