2024-10-31 14:51:23,076 INFO    MainThread:13715 [wandb_setup.py:_flush():77] Current SDK version is 0.17.8
2024-10-31 14:51:23,077 INFO    MainThread:13715 [wandb_setup.py:_flush():77] Configure stats pid to 13715
2024-10-31 14:51:23,077 INFO    MainThread:13715 [wandb_setup.py:_flush():77] Loading settings from /Users/ssongjinseobgmail.com/.config/wandb/settings
2024-10-31 14:51:23,077 INFO    MainThread:13715 [wandb_setup.py:_flush():77] Loading settings from /Users/ssongjinseobgmail.com/coding/Re-Beethoven/src/wandb/settings
2024-10-31 14:51:23,077 INFO    MainThread:13715 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-10-31 14:51:23,077 INFO    MainThread:13715 [wandb_setup.py:_flush():77] Applying setup settings: {'_disable_service': False}
2024-10-31 14:51:23,077 INFO    MainThread:13715 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'src/trainer.py', 'program_abspath': '/Users/ssongjinseobgmail.com/coding/Re-Beethoven/src/trainer.py', 'program': '/Users/ssongjinseobgmail.com/coding/Re-Beethoven/src/trainer.py'}
2024-10-31 14:51:23,077 INFO    MainThread:13715 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-10-31 14:51:23,077 INFO    MainThread:13715 [wandb_init.py:_log_setup():524] Logging user logs to /Users/ssongjinseobgmail.com/coding/Re-Beethoven/src/wandb/run-20241031_145123-vbu5eju1/logs/debug.log
2024-10-31 14:51:23,077 INFO    MainThread:13715 [wandb_init.py:_log_setup():525] Logging internal logs to /Users/ssongjinseobgmail.com/coding/Re-Beethoven/src/wandb/run-20241031_145123-vbu5eju1/logs/debug-internal.log
2024-10-31 14:51:23,078 INFO    MainThread:13715 [wandb_init.py:init():607] calling init triggers
2024-10-31 14:51:23,078 INFO    MainThread:13715 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {'device': 'No GPU available.', 'fft_setup': {'n_fft': 2048, 'win_len': 2048, 'hop_length': 1024, 'seq_len': 163840, 'overlap_ratio': 128, 'cut_first': 10240, 'sr': 10240, 'num_test_samples': 16, 'num_blocks': 4}, 'model_param': {'epoch': 1, 'device': 'cpu', 'batch_size': 1, 'lr': 0.001}, 'file_path': {'audio_folder': '../dataset', 'log_dir': './train_log/'}}
2024-10-31 14:51:23,078 INFO    MainThread:13715 [wandb_init.py:init():657] starting backend
2024-10-31 14:51:23,078 INFO    MainThread:13715 [wandb_init.py:init():661] setting up manager
2024-10-31 14:51:23,080 INFO    MainThread:13715 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-10-31 14:51:23,083 INFO    MainThread:13715 [wandb_init.py:init():669] backend started and connected
2024-10-31 14:51:23,116 INFO    MainThread:13715 [wandb_init.py:init():767] updated telemetry
2024-10-31 14:51:23,139 INFO    MainThread:13715 [wandb_init.py:init():800] communicating run to backend with 90.0 second timeout
2024-10-31 14:51:23,402 INFO    MainThread:13715 [wandb_init.py:init():851] starting run threads in backend
2024-10-31 14:51:23,905 INFO    MainThread:13715 [wandb_run.py:_console_start():2463] atexit reg
2024-10-31 14:51:23,905 INFO    MainThread:13715 [wandb_run.py:_redirect():2309] redirect: wrap_raw
2024-10-31 14:51:23,905 INFO    MainThread:13715 [wandb_run.py:_redirect():2374] Wrapping output streams.
2024-10-31 14:51:23,905 INFO    MainThread:13715 [wandb_run.py:_redirect():2399] Redirects installed.
2024-10-31 14:51:23,909 INFO    MainThread:13715 [wandb_init.py:init():894] run started, returning control to user process
2024-10-31 14:51:58,474 WARNING MsgRouterThr:13715 [router.py:message_loop():77] message_loop has been closed
